Seq     Code    Amount
001     C          12455
002     B          13223
003     C           8733
004     A           2873
005     A          11833
006     B          22833
007     A           7885
008     A           2237
009     A           5346
010     C           1005
011     A           4521
012     A           5522
013     B          11069
014     A          12130
015     A           9985
016     C          12662
017     B          12281
018     A           4400
019     C           6233
020     C          11140
021     A           5852
022     C          14890
023     B           8433
024     C           3261
025     C           7035
026     A           7214
027     A          11871
028     A          13262
029     C          13774
030     A          11674
031     A            351
032     A           3026
033     C            137
034     C           5655
035     A           4274
036     A           1189
037     C          11845
038     A          10533
039     C           9715
040     C          14393
041     B           1007
042     B          12425
043     B           7466
044     A           9228
045     A          13982
